RANK,MARK,ATHLETE/TEAM,GRADE,MEET DATEPLACE
1,206-3,CHRIS FREDERICKSPalmerton Area,2019,"Saucon Valley, Pen Argyl @ Palmerton1st FApr 30, 2019"
2,204-7,CHRIS BARRETTNorthern,2019,"Shippensburg 93rd Jack Roddick HS Invitational1stApr 20, 2019"
3,203-8,COLLIN BURKHARTNazareth Area,2021,"PIAA District XI AAA Championship1stMay 15, 2019 - May 16, 2019"
4,201-11,EVAN NIEDROWSKIWyomissing Area,2021,"90th Annual John H. Shaner Memorial Track Meet1stMay 3, 2019 - May 4, 2019"
5,201-2,DEVON TATELower Merion,2019,"American JavFest3rdJun 28, 2019 - Jun 30, 2019"
6,200-9,MATT SAXENorthwest Area,2020,"PIAA District 2 AA Championship1stMay 15, 2019"
6,200-9,MARK SUMINSKIHershey,2019,"PIAA District 3 AAA Championships1stMay 17, 2019 - May 18, 2019"
8,199-1,MATTHEW PREBOLATunkhannock,2022,"PIAA T&F State Championships3rdMay 24, 2019 - May 25, 2019"
9,198-7,ANDREW ALTEMOSEPocono Mountain East,2020,"PIAA District XI AAA Championship2ndMay 15, 2019 - May 16, 2019"
10,198-1,RICKY ORTEGACoatesville,2020,"PIAA T&F State Championships4thMay 24, 2019 - May 25, 2019"
11,195-2,LUCAS SOUDERSWhitehall,2020,"PIAA District XI AAA Championship3rdMay 15, 2019 - May 16, 2019"
12,194-11,KEVIN BARTOSHFleetwood Area,2020,"90th Annual John H. Shaner Memorial Track Meet2ndMay 3, 2019 - May 4, 2019"
13,192-6,SCOTT BENCOWaynesburg Central,2019,"TSTCA Outdoor Championship1stApr 13, 2019"
14,191-10,AARON KEELERShikellamy,2019,"PIAA District 4 AA-AAA Championship1stMay 16, 2019 - May 18, 2019"
14,191-10,SCOTT CAMPBELLHazleton Area,2020,"PIAA T&F State Championships6thMay 24, 2019 - May 25, 2019"
16,189-2,JOEY SCARFALLOTOHonesdale,2020,"The Robert Spagna Championship1stMay 7, 2019"
17,188-5,ERIC LYONBangor Area,2019,"PIAA District XI AAA Championship4thMay 15, 2019 - May 16, 2019"
18,187-9,AARON YOUNGCoatesville,2019,"PIAA District 1 AAA Championships2ndMay 17, 2019 - May 18, 2019"
18,187-9,NICHOLAS NITTOLIBangor Area,2019,"EPC/Colonial Conference Championships2ndMay 7, 2019 - May 8, 2019"
