RANK,TIME,WIND,ATHLETE/TEAM,GRADE,MEET DATEPLACE
1,21.32,,JULIAN KLENNERWesttown School,2019,"14th Annual Hoka One One Henderson Invitational1stMay 3, 2019"
2,21.35,,SAVION HEBRONNeshaminy,2019,"PIAA District 1 AAA Championships1stMay 17, 2019 - May 18, 2019"
3,21.38,,DAIYAAN HAWKINSThe Haverford School for Boys,2020,"Episcopal Academy v Haverford School v Agnes Irwin v Baldwin Sch1stApr 30, 2019"
4,21.4,0.6,EZRA MELLINGERLampeter Strasburg,2019,"PIAA T&F State Championships1stMay 24, 2019 - May 25, 2019"
5,21.48,,IAN THRUSHBrookville Area,2020,"PIAA District 9 AAA and AA Championship1stMay 17, 2019"
6,21.55,,BRENDAN O'MALLEYBaldwin,2019,"PIAA District 7 (WPIAL) AAA Championships1st PMay 16, 2019"
7,21.59,1.7,DYMERE MILLERCoatesville,2019,"PIAA T&F State Championships1st PMay 24, 2019 - May 25, 2019"
8,21.6,,ANDERSON DIMONPennridge,2019,"North Penn @ Pennridge1stMar 26, 2019"
8,21.6,0.6,SALIM EPPSSaint Joseph's Prep,2020,"PIAA T&F State Championships2ndMay 24, 2019 - May 25, 2019"
10,21.63,,TOM MCDONOUGHNorth Hills,2020,"PIAA District 7 (WPIAL) AAA Championships4th PMay 16, 2019"
11,21.64,,HAFIS UPSHAWImhotep Institute Charter HS,2021,"Philadelphia Public League Championships1st PMay 8, 2019 - May 9, 2019"
11,21.64,,DEJON MANNINGLancaster City Track Club,2020,"USATF National Junior Olympic Track & Field Championships6thJul 22, 2019 - Jul 28, 2019"
13,21.68,1.7,ZACH DELONEDowningtown East,2019,"PIAA T&F State Championships2nd PMay 24, 2019 - May 25, 2019"
14,21.72,1.7,JEROME JESSUPRed Lion,2019,"PIAA T&F State Championships3rd PMay 24, 2019 - May 25, 2019"
15,21.73,,MARLIN DEVONSHIREAliquippa,2019,"PIAA District 7 (WPIAL) AA Championships1stMay 16, 2019"
16,21.77,,LAMINU ABBASMotivation High School,2020,"Philadelphia Public League Championships1stMay 8, 2019 - May 9, 2019"
17,21.79,,BRYAN DWOREKBrookville Area,2019,"PIAA District 9 AAA and AA Championship2ndMay 17, 2019"
18,21.81,,JARED BANNONHempfield Area (7),2019,"PIAA District 7 (WPIAL) AAA Championships7th PMay 16, 2019"
19,21.82,,JOSEPH BRUNOMechanicsburg Area High School,2020,"14th Annual Hoka One One Henderson Invitational3rdMay 3, 2019"
20,21.84,,DEQUAY CANTONCarlynton,2020,"PIAA District 7 (WPIAL) AA Championships1st PMay 16, 2019"
21,21.87,,TYLER BYRDBishop McDevitt,2019,"PW Colonial Classic1stApr 6, 2019"
22,21.88,,ERIC ZIMMERMANMifflinburg,2019,"PIAA District 4 AA-AAA Championship1stMay 16, 2019 - May 18, 2019"
23,21.9,,DARLINGTON BROOKSNortheast HS,2020,"PIAA District 12 AAA Championships2ndMay 15, 2019 - May 16, 2019"
23,21.9,1.7,RAFAEL MCCOYWilkes-Barre Area School District,2020,"PIAA T&F State Championships4th PMay 24, 2019 - May 25, 2019"
25,21.94,,TYMIR JACKSONOverbrook,2019,"Philadelphia Public League Championships3rd PMay 8, 2019 - May 9, 2019"
26,21.96,,KAMERE DAYHarrisburg High School,2020,"Mid Penn Championship2ndMay 11, 2019"
27,21.97,,JOEY PORTERNorth Allegheny,2020,"PIAA District 7 (WPIAL) AAA Championships2nd PMay 16, 2019"
28,21.98,2.5,JAHMAINE HATTENMidas Track Club,2020,"USATF Region 2 Junior Olympic Championships2ndJul 11, 2019 - Jul 14, 2019"
28,21.98,1.4,DA'AVIONCE RODRIGUEZLancaster City Track Club,,"USATF National Junior Olympic Track & Field Championships24th PJul 22, 2019 - Jul 28, 2019"
30,22.02,0.9,SHAWN BROWNCentral Dauphin East (CD East),2020,"PIAA District 3 AAA Championships2ndMay 17, 2019 - May 18, 2019"
30,22.02,,NANA ADUSEPOKUGateway,2020,"PIAA District 7 (WPIAL) AAA Championships5th PMay 16, 2019"
32,22.05,,AARON WILLIAMSUpper Darby,2020,"Boys Delco Championship1stMay 2, 2019 - May 4, 2019"
32,22.05,,TREY BLAIRHaverford Township HS,2020,"Boys Delco Championship1stMay 2, 2019 - May 4, 2019"
32,22.05,,MICHAEL CANNON JRCentral Bucks South,2019,"Pennridge @ CB South2nd FApr 16, 2019"
35,22.06,,DONOVAN SANDERSGirard College HS,2020,"Great Valley R. Joseph Kellerman Invitational2ndApr 20, 2019"
36,22.08,,TYHIR ROYSTERPittsburgh Central Catholic,2019,"PIAA District 7 (WPIAL) AAA Championships3rd PMay 16, 2019"
37,22.1,,ELLIOT ROSTLigonier Valley,2019,"Heritage Conference Championships1stMay 7, 2019"
38,22.14,,JOEY GANTPennridge,2022,"North Penn @ Pennridge2ndMar 26, 2019"
39,22.17,,TYRESE REIDUpper Perkiomen,2020,"12th Annual Viking Invitational2ndApr 13, 2019"
39,22.17,,NASIR SAVAGEMotivation High School,2019,"Philadelphia Public League Championships5th PMay 8, 2019 - May 9, 2019"
41,22.18,,ELIJAH MORALESWilson (3),2019,"2019 BCIAA Firing Championship1stMay 9, 2019 - May 11, 2019"
42,22.19,0.9,STEPHON BROWNCentral Dauphin East (CD East),2019,"PIAA District 3 AAA Championships5thMay 17, 2019 - May 18, 2019"
42,22.19,,ISAAC KANEUpper Saint Clair,2020,"PIAA District 7 (WPIAL) AAA Championships8th PMay 16, 2019"
44,22.2,,JAMES JAISINGHCumberland Valley,2021,"Mid Penn Championship3rdMay 11, 2019"
44,22.2,-0.5,JULIAN SAUNDERSBoyertown,2021,"PIAA District 1 AAA Championships7th SMay 17, 2019 - May 18, 2019"
46,22.21,,AZEEZ ADEDOKUNPerkiomen Valley,2019,"Great Valley R. Joseph Kellerman Invitational3rdApr 20, 2019"
47,22.22,,DA'AVIONCE RODRIGUEZJ.P. McCaskey,2020,"Lebanon-Lancaster League Championship2ndMay 10, 2019 - May 11, 2019"
48,22.23,,MARCEL JACKSONWest Catholic,2022,"Philadelphia Catholic League Outdoor Championships3rdMay 11, 2019"
48,22.23,,ISAIAH MATHEWSMontour,2020,"PIAA District 7 (WPIAL) AAA Championships9th PMay 16, 2019"
50,22.24,,DAVID NIANGCentral Dauphin East (CD East),2020,"14th Annual Hoka One One Henderson Invitational6thMay 3, 2019"
51,22.25,,NATHANIEL EDWARDSCheltenham,2020,"SOL American Conference Championships1st PMay 10, 2019 - May 11, 2019"
51,22.25,,ETHAN KLEESDanville Area,2019,"PIAA District 4 AA-AAA Championship2ndMay 16, 2019 - May 18, 2019"
53,22.26,,RYAN FEGLEYWarwick,2019,"Lebanon-Lancaster League Championship3rdMay 10, 2019 - May 11, 2019"
53,22.26,,ZACH WAGNERThomas Jefferson,2019,"PIAA District 7 (WPIAL) AAA Championships10th PMay 16, 2019"
55,22.27,2.9,MIKE HENWOODHickory,2021,"PIAA T&F State Championships1st PMay 24, 2019 - May 25, 2019"
55,22.27,,LUKE BENSONCentral Bucks West,2019,"SOL Continental Conference Championships2ndMay 10, 2019 - May 11, 2019"
